cs_vol_syn_5_rrm_8_10_11_10, cs_cul_syn_3_lci_8_10_11_10, area_code, volun_abs_3_percent_6_11_6_11, cs_cul_syn_4_uci_8_10_11_10, cs_cul_syn_1_no_8_10_11_10, cs_saf_syn_1_no_8_10_11_10, cs_psup_syn_1_no_8_10_11_10, area_name, cs_gsup_syn_1_no_8_10_11_10, cs_vol_syn_3_lci_8_10_11_10, cs_gsup_syn_5_rrm_8_10_11_10, cs_vol_syn_1_no_8_10_11_10, cs_saf_syn_4_uci_8_10_11_10, cs_psup_syn_3_lci_8_10_11_10, cs_psup_syn_2_rate_8_10_11_10, cs_gsup_syn_3_lci_8_10_11_10, volun_abs_2_denom_6_11_6_11, cs_gsup_syn_2_rate_8_10_11_10, cs_cul_syn_5_rrm_8_10_11_10, cs_saf_syn_3_lci_8_10_11_10, cs_psup_syn_5_rrm_8_10_11_10, volun_abs_1_no_6_11_6_11, cs_vol_syn_2_rate_8_10_11_10, cs_gsup_syn_4_uci_8_10_11_10, cs_cul_syn_2_rate_8_10_11_10, cs_vol_syn_4_uci_8_10_11_10, cs_saf_syn_2_rate_8_10_11_10, cs_psup_syn_4_uci_8_10_11_10, cs_saf_syn_5_rrm_8_10_11_10
3.0,-1.57952719434464,22310,18.6800905272373,11.6458465715372,5524.97534308918,50978.0872742463,32438.5150926329,"Glen Eira (C)",101167.329824675,29.5029809852154,3.0,40022.7790068621,65.7747009113035,23.7126927706966,30.1065993575727,89.6456498168158,107371.0,93.0580513523428,2.0,29.0250152605238,3.0,20057.0,37.3877226045267,96.4704528878698,5.03315968859628,45.2724642238379,47.3998580859137,36.5005059444488,3.0
3.0,1.8788303102106,22750,18.453610046358,9.4565932858392,9989.65318871124,77883.6010421214,47119.0602215689,"Greater Geelong (C)",157925.743187881,32.1114062868036,3.0,62152.4572211328,57.7346401508492,24.1719360778522,27.9847402945022,90.9811750144804,171923.0,93.0167941696379,1.0,35.5938357255095,3.0,31726.0,36.7830608793773,95.0524133247954,5.6677117980249,41.4547154719511,46.6642379381793,31.7975445111521,3.0
3.0,-2.45633354100305,22830,19.6690247599798,11.6428536331878,2194.24440194395,24471.1657487309,13191.743915634,"Greater Shepparton (C)",43636.0633290623,34.5233002416597,3.0,20203.3733860785,72.5253813382071,21.2161260714398,28.1342779616929,89.3620493987568,47496.0,93.08727438162,2.0,32.5669554243952,3.0,9342.0,43.0012747653489,96.8124993644832,4.59326004609238,51.479249289038,52.5461683813012,35.0524298519461,3.0
3.0,-0.0569297771165685,22910,27.6667226608433,11.5692941312414,740.303522183635,5922.2289930748,3216.26024287551,"Hepburn (S)",10760.1589516645,35.3258642907493,3.0,5132.93275977448,69.848078744531,20.7930184487806,26.8198709239459,89.0741532494941,11906.0,92.4242094163734,2.0,33.7190777560978,3.0,3294.0,42.7288397171272,95.7742655832527,5.75618217706244,50.131815143505,51.7835782503144,32.8467233991111,3.0
3.0,-2.05514635326196,22980,37.7307046979866,13.479004414357,318.724157921256,2372.01929253773,1322.48586543714,"Hindmarsh (S)",4456.27802015107,32.6150031234972,3.0,2042.7708828347,80.8076284017481,19.1895833658514,28.1541379145664,89.3256302889066,4768.0,94.1318123646193,2.0,26.460586406771,3.0,1799.0,43.6951795674061,98.937994440332,5.71192903054751,54.7753560113151,53.6341074042595,37.1186924632815,1.0
3.0,-0.909559198997535,23110,14.2911241224621,12.1761539053324,3864.05423328439,31098.3614201163,19476.3224689203,"Hobsons Bay (C)",62886.2513641025,25.8977331967144,3.0,23075.7409747853,63.4787270338072,22.0580956270151,28.3582958047069,88.4373615214862,68658.0,91.8397004712563,2.0,27.255043544338,3.0,9812.0,33.6196229294669,95.2420394210263,5.63329735316744,41.3415126622195,45.3668852890726,34.6584959823987,3.0
3.0,-1.62912403722976,23190,30.1462534630501,11.6622752675097,816.4925639178,7966.47173625931,4356.62569301157,"Horsham (RC)",14401.9348259852,36.2295039917654,3.0,6840.75145633794,72.9616813283108,21.6077714577626,28.4130120506488,90.113172782599,15521.0,93.7767058859362,2.0,33.1754279465181,3.0,4679.0,44.593031976695,97.4402389892735,5.01657561513996,52.9565599616246,53.0685546374145,35.2182526435349,3.0
3.0,0.630951891339452,23270,10.1553931942106,11.9296605528017,7353.51234470914,56597.9154901844,35513.5656733095,"Hume (C)",113581.296022881,26.3251713977786,3.0,41084.7152383505,58.3161787967424,23.1798390299643,28.2659430018059,88.0770387812447,129478.0,90.8304163217006,1.0,29.7933583308833,3.0,13149.0,32.5203401900354,93.5837938621564,6.28030622207056,38.7155089822923,44.0547685638129,33.3520469736475,3.0
3.0,-2.15919788356671,23350,30.6954826129347,11.1579731804292,590.465073439777,6478.88863627819,3556.09683881994,"Indigo (S)",11372.0206940253,35.9507326402113,3.0,5548.41182166443,73.6239059181333,21.6984744295414,28.3861121068923,89.8620150146282,12308.0,93.5802965776536,2.0,33.8277648090427,3.0,3778.0,44.160533791166,97.298578140679,4.49938764843124,52.3703349421207,53.725835363588,35.0737497842431,3.0
3.0,-0.812113459055809,23430,15.2517813917016,12.3785248298113,6962.40859714043,53233.4794987476,34071.2311573933,"Kingston (C)",108869.16409966,27.227134067564,3.0,41227.7458710922,64.2505275877188,22.5341108570959,28.9741499700753,88.9671779500317,117324.0,92.4273576631782,2.0,26.9872802537889,3.0,17894.0,35.1314648548902,95.8875373763248,5.78320568537775,43.0357956422163,45.6189039207538,35.4141890830548,3.0
3.0,-0.967288324739183,23670,16.8216155787362,9.90109294575519,5334.50273875377,56388.3877485668,35693.7248112992,"Knox (C)",112582.4572954,29.3897119905508,3.0,43677.4294948021,60.4026556963387,24.1369970477643,29.2022128452031,90.0525024365861,121653.0,92.7994042216515,2.0,31.4545949288695,3.0,20464.0,35.5703878605244,95.5463060067168,4.466902310508,41.7510637304979,45.9286253126041,34.2674286426419,3.0
3.0,0.94288662559174,23810,17.8510780630886,10.8275590171721,3490.72792878698,29936.1936500507,15843.9115679375,"Latrobe (C)",53605.3469784225,36.2470214365093,3.0,24512.5670033285,66.3841148813158,22.5043169309085,27.4173333787963,90.0062698265556,58299.0,92.6490320655641,1.0,37.9913235699541,3.0,10407.0,42.2715266758056,95.2917943045726,5.88522282138193,48.2960319151019,52.1877192256349,32.330349826684,3.0
3.0,0.581798748206772,23940,34.1609866926323,11.8708469687313,450.785163593808,3138.80979617892,1691.26589128587,"Loddon (S)",5762.22799686466,34.3351123847628,3.0,2635.41266137522,72.6446056503668,20.5975981498888,26.9332421356202,89.2901801194907,6162.0,92.7554304311989,1.0,34.1482166949627,3.0,2105.0,42.1602486034805,96.2206807429071,6.22632285846904,49.9853848221983,53.3964111726648,33.2688861213517,3.0
3.0,-1.63452251033953,24130,24.2188921919553,9.28674661634913,1239.34174554241,17110.915777539,9368.77376166388,"Macedon Ranges (S)",29351.7392293912,38.9526332881801,3.0,14782.4681411161,68.9597169611842,23.6727642452837,28.8314687778895,90.6405261535119,32966.0,93.519379269401,2.0,38.7130888140892,3.0,7984.0,45.276880599112,96.3982323852901,3.8261120530048,51.6011279100438,53.8364028876367,33.9901733104953,3.0
3.0,-2.79723038855317,24210,17.5638489981942,12.5743630929235,4877.36848834878,43304.4100017324,28803.6726106517,"Manningham (C)",88123.2317167989,27.7544587478039,3.0,35300.7940249748,68.7212437177301,22.8228541975005,30.4967893008019,88.8380476951819,93032.0,92.95689987119,2.0,24.1500699651405,3.0,16340.0,37.0841942745053,97.0757520471982,4.88856635218518,46.4139298012067,46.4356568414353,38.1707244041033,3.0
3.0,-3.92301409513722,24250,29.5472226544266,12.7281442582787,290.788175952062,3167.66994697073,1730.65534417546,"Mansfield (S)",5629.50705415964,33.5469863414087,3.0,2731.16007104219,78.9305376708553,19.3627543887528,27.899241566655,88.4449228098531,6427.0,93.1750433326781,2.0,27.85976922702,3.0,1899.0,44.0658826938439,97.9051638555031,4.40256508157074,54.5847790462791,53.3951534489377,36.4357287445572,3.0
3.0,-1.07026210854888,24330,13.3815188475631,17.9743510836045,4641.18245897287,26850.6015832244,16518.2852721859,"Maribyrnong (C)",53253.2588915201,20.0770442456918,3.0,17840.1943665444,69.0416935009821,19.5005548625217,28.1773702888369,85.3304613938012,59769.0,89.9625617270792,2.0,20.4333748270334,3.0,7998.0,30.8405714568364,94.5946620603571,8.45204448752781,41.6040986679811,44.7375341640077,36.854185715152,1.0
3.0,-2.32733731447742,24410,19.1933801213961,10.5508087543879,3467.87121626673,38234.1205365296,23921.3479083237,"Maroondah (C)",77903.5141074719,29.0656504938929,3.0,30482.3156877928,64.0424906624164,22.5699426379547,28.7753077565778,90.1943569448442,84352.0,93.5276591231491,2.0,28.2713984331543,3.0,16190.0,36.679161748312,96.860961301454,4.11173571995523,44.292673002731,46.1569445477853,34.9806728752009,3.0
3.0,-0.366112261093669,24600,18.5521142305305,14.4083865698974,4916.27480345554,44319.2154123128,24353.4628971219,"Melbourne (C)",81616.5299675867,28.3224930653265,3.0,29711.3511097207,63.2376886682529,23.6001704156868,29.6329001955977,87.8254385551826,86982.0,90.8022332282545,2.0,32.6118758064756,3.0,16137.0,35.5900179651551,93.7790279013263,7.02113715440187,42.8575428649838,47.9247822373643,35.6656299755086,3.0
3.0,-1.47981996448491,24650,10.5204293755091,12.5618157889425,3875.48258954452,36742.7087926634,22649.8284756478,"Melton (S)",71002.0498386455,26.9310869777284,3.0,26729.3861713655,62.4201511116536,22.817004223951,28.8037307963977,88.3057939773453,82259.0,91.5743450538944,2.0,28.880361141005,3.0,8654.0,34.3366032201705,94.8428961304434,5.5409979122288,41.7421194626125,45.6502561263293,34.7904573688443,3.0
3.0,-2.21761598716137,24780,20.1896581684582,13.9145277771344,2426.62097923315,20726.3935229905,11119.3295448524,"Mildura (RC)",37289.6531170743,32.4602426255804,3.0,17043.2249733174,75.621717750113,19.6076455358673,27.6591264502358,88.5877828997386,40283.0,92.9310019049332,2.0,28.8238675863637,3.0,8133.0,42.3316991873516,97.2742209101277,5.84845589498653,52.2031557491228,52.2227926682384,35.7106073646043,3.0
3.0,-2.5693099299708,24850,19.2545434356146,10.9987092312815,1061.56731482936,13744.0354443439,7198.34131251098,"Mitchell (S)",23629.0432255495,35.1315031207893,3.0,11163.7379408325,71.367032452783,21.5700599201756,27.9562494497737,89.214111491094,27017.0,92.689105234319,2.0,34.8772505986896,3.0,5202.0,42.9187200369991,96.164098977544,4.21469965065534,50.705936953209,53.1221415257363,34.3424389793718,3.0
3.0,-1.09787218375583,24900,24.2209194692996,11.1007732928493,1244.42101499136,11509.76756141,6264.04673775233,"Moira (S)",21025.3495232313,35.2578184616409,3.0,9706.44129268566,72.6720869308597,21.4115995194992,27.9355502280226,89.9648673254678,22687.0,93.4697827814452,2.0,33.8923783771695,3.0,5495.0,43.2724953310238,96.9746982374225,5.00145055454676,51.2871722004067,53.2822326540146,34.459500936546,3.0
3.0,0.380412255933809,24970,17.0036520352051,10.8900639566271,8214.4485163052,65847.2394372204,42641.1639940703,"Monash (C)",133113.280049185,29.2183620481751,3.0,50560.1032813388,60.7326842762278,25.0146669348179,30.1810598892839,89.1083634687875,142934.0,91.820914525801,1.0,31.4425829559877,3.0,24304.0,35.4962164135899,94.5334655828146,5.63523810628045,41.7740707790048,46.0876336161077,35.34745284375,3.0
3.0,-1.23028650973523,25060,15.3314870667907,11.7183948418057,4754.65422733444,41041.0874636605,25918.0941784896,"Moonee Valley (C)",84083.2347929636,27.5663335099825,3.0,31549.8538491227,63.7087534641317,22.5878188856544,28.8880920248701,89.3773945071588,89189.0,92.7335533334871,2.0,27.5896177012124,3.0,13674.0,35.3131611166813,96.0897121598154,5.24405416603525,43.05998872338,45.6491855826721,35.1883651640858,3.0
3.0,-1.8400418987785,25150,20.2916816708678,10.3817498961093,916.80813553445,11374.1716686955,6092.60474707468,"Moorabool (S)",19708.6221586924,36.2355600621239,3.0,9444.58136650922,69.8678376820702,22.2158662238094,28.0209136112393,89.6763408069776,22216.0,92.8827099007336,2.0,36.1605006266299,3.0,4508.0,43.3697961381252,96.0890789944896,4.27085399866542,50.5040322141266,53.0141691543501,33.8259609986691,3.0
3.0,1.34760344296071,25250,14.3104915508368,11.9524467278611,7912.23198409301,54024.0142087699,33208.4073195857,"Moreland (C)",112061.773276452,27.3169004082628,3.0,39706.9588695829,59.2266549129677,22.7312888288062,27.8326901655215,89.2906326374656,123385.0,91.9836396103999,1.0,30.3307309101374,3.0,17657.0,33.6311106339441,94.6766465833342,6.6500250854109,39.9453208596253,44.7786929115525,32.9340915022367,3.0
3.0,0.0184692724307819,25340,18.5588317507645,9.69259026855917,6208.13708397219,51521.3404636365,32706.5272250534,"Mornington Peninsula (S)",108884.403065512,30.1647875263584,3.0,42321.5032733764,61.0744896074094,23.2182531928385,28.3496790589114,90.8268917352617,118057.0,93.5653414156334,2.0,30.777392168629,3.0,21910.0,36.409247177405,96.3037910960051,4.85552977049498,42.6537068284517,45.9259408880192,33.4811049249844,3.0
3.0,-0.786557764710684,25430,29.9130789080538,10.8099727790847,807.603842382147,7325.29392429741,3967.57149755004,"Mount Alexander (S)",13368.3829682526,35.7001550730308,3.0,6374.83260876724,70.5648109612348,20.8479129718526,26.9906881092814,89.2467912778298,14726.0,92.62123425305,2.0,33.7387435542522,3.0,4405.0,43.2425562409296,95.9956772282702,5.01170750718699,50.7849574088284,52.1517772577435,33.1334632467101,3.0
